Header:Begin
Name: Age of Oil Tech Tree
TreeID: Age_of_Oil
TreeRequirement: Special_Forces:40%
Format: Table
Schema: TechData
Version: 1.0
Scope: Global
Header:End

Data:Begin
NodeID            NodeLevel   Purpose                          IsToggle   EffectValue   ResearchTime    Iron    Coin    Food    Oil     ValorMedals   TechRequirements                                 BuildingRequirements  Notes
Unlock_Oil_Well   1           Enables Oil Well construction   True       0.0           00d 00:00:00   0       0       0       0        0             Tier 0                                     Tech_Center_1:30       Confirmed
Food_Output_V     1           Boost Food Output               False      2.50          00d 22:50:20   0.9M    2.8M    0.9M    0        0             Unlock_Oil_Well:1                          Tech_Center_1:30       Estimate:Buffed
Food_Output_V     2           Boost Food Output               False      5.00          05d 14:45:00   1.9M    5.6M    1.9M    0        0             Food_Output_V:1                            Tech_Center_1:30       Confirmed:Base; Buffed: (Iron = 1.8M, Coin = 5.6M, Food = 1.8M)
Food_Output_V     3           Boost Food Output               False      7.50          07d 20:39:00   3.4M    10.2M   3.4M    0        0             Food_Output_V:2                            Tech_Center_1:30       Estimate:Base

Iron_Output_V     1           Boost Iron Output               False      2.50          00d 22:50:20   0.9M    2.8M    0.9M    0        0             Unlock_Oil_Well:1                          Tech_Center_1:30       Estimate:Buffed
Iron_Output_V     2           Boost Iron Output               False      5.00          05d 14:45:00   1.9M    5.7M    1.9M    0        0             Iron_Output_V:1                            Tech_Center_1:30       Confirmed:Base; Buffed: (Iron = 1.8M, Coin = 5.6M, Food = 1.8M)
Iron_Output_V     3           Boost Iron Output               False      7.50          07d 20:39:00   3.4M    10.2M   3.4M    0        0             Iron_Output_V:2                            Tech_Center_1:30       Estimate:Base

Coin_Output_V     1           Boost Coin Output               False      1.66          00d 21:18:58   1.1M    3.4M    1.1M    0        0             Unlock_Oil_Well:1                          Tech_Center_1:30       Estimate:Base
Coin_Output_V     2           Boost Coin Output               False      3.33          05d 14:45:00   1.9M    5.6M    1.9M    0        0             Coin_Output_V:1                            Tech_Center_1:30       Confirmed:Buffed
Coin_Output_V     3           Boost Coin Output               False      7.50          07d 20:39:00   3.4M    10.2M   3.4M    0        0             Coin_Output_V:2                            Tech_Center_1:30       Confirmed:Base

Oil_Output_I      1           Boost Oil Well Output           False      1.00          02d 18:00:00   4.0M    12.0M   4.0M    0        0             Food_Output_V:1;Iron_Output_V:1;Coin_Output_V:1   Tech_Center_1:30       Estimate:Base
Oil_Output_I      2           Boost Oil Well Output           False      2.00          03d 00:00:00   5.5M    16.5M   5.5M    0        0             Oil_Output_I:1                             Tech_Center_1:30       Estimate:Base
Oil_Output_I      3           Boost Oil Well Output           False      3.00          03d 12:00:00   7.5M    22.5M   7.5M    0        0             Oil_Output_I:2                             Tech_Center_1:30       Estimate:Base
Oil_Output_I      4           Boost Oil Well Output           False      4.00          04d 00:00:00   10.0M   30.0M   10.0M   0        0             Oil_Output_I:3                             Tech_Center_1:30       Estimate:Base
Oil_Output_I      5           Boost Oil Well Output           False      5.00          04d 18:00:00   13.5M   40.5M   13.5M   0        0             Oil_Output_I:4                             Tech_Center_1:30       Estimate:Base
Oil_Output_I      6           Boost Oil Well Output           False      6.00          05d 12:00:00   18.0M   54.0M   18.0M   0        0             Oil_Output_I:5                             Tech_Center_1:30       Estimate:Base
Oil_Output_I      7           Boost Oil Well Output           False      7.00          06d 06:00:00   24.0M   72.0M   24.0M   0        0             Oil_Output_I:6                             Tech_Center_1:30       Estimate:Base
Oil_Output_I      8           Boost Oil Well Output           False      8.00          07d 00:00:00   32.0M   96.0M   32.0M   0        0             Oil_Output_I:7                             Tech_Center_1:30       Estimate:Base
Oil_Output_I      9           Boost Oil Well Output           False      9.00          08d 00:00:00   42.0M   126.0M  42.0M   0        0             Oil_Output_I:8                             Tech_Center_1:30       Estimate:Base
Oil_Output_I      10          Boost Oil Well Output           False      10.00         09d 00:00:00   55.0M   165.0M  55.0M   0        0             Oil_Output_I:9                             Tech_Center_1:30       Estimate:Base

Fast_Builder_V    1           Increase constr speed           False      2.50          07d 20:39:00   3.3M    10.0M   3.3M    0        0             Oil_Output_I:10                            Tech_Center_1:30       Confirmed:Buffed
Fast_Builder_V    2           Increase constr speed           False      5.00          07d 20:39:00   3.4M    10.2M   3.4M    0        0             Fast_Builder_V:1                           Tech_Center_1:30       Confirmed:Base
