Header:Begin
Name: F1NE Hero Skill Registry
Scope: Account: F1NE
Version: 1.1.0
Format: Table
Schema: HeroSkillRegistry
Header:End

Data:Begin
HeroID  Name       Max_Skill_Level  Passive_Level  AutoAttack_Level  Tactics_Level  Expertise_Unlocked
H_001   Kimberly   35               35             35                35             True
H_002   Marshall   20               20             20                20             True
H_003   Mason      30               20             23                20             True
H_004   Murphy     31               22             22                27             True
H_005   Scarlett   10               1              1                 1              False
H_006   Stetmann   1                1              1                 1              False
H_007   Violet     20               12             12                12             True
H_008   Williams   20               20             20                20             True
H_009   Monica     20               20             20                20             True
H_010   Richard    10               10             10                10             False
H_011   Farhad     10               5              5                 5              False
H_012   Gump       20               0              10                10             True
H_013   Loki       20               0              20                20             True
H_014   Adam       5                5              5                 5              False
H_015   Fiona      5                5              5                 5              False
H_016   McGregor   5                5              5                 5              False
H_017   Swift      10               10             10                10             False
H_018   Tesla      10               5              5                 5              False
H_019   Braz       10               10             10                10             False
H_020   Elsa       10               10             10                10             False
H_021   Venom      10               5              5                 5              False
H_022   Kane       20               0              10                10             False
H_023   Carlie     10               8              8                 8              False
H_024   DVA        20               13             13                13             True
H_025   Lucius     5                5              5                 5              False
H_026   Morrison   5                5              5                 4              False
H_027   Schuyler   10               10             10                10             False
H_028   Cage       10               1              1                 1              False
H_029   Maxwell    10               10             10                10             False
H_030   Sarah      10               5              7                 7              False
H_031   Ambolt     20               0              10                10             True
Data:End
