Header:Begin
Name: F1NE Master Hero Registry
Scope: Account:F1NE
Version: 1.6
Format: Table
Schema: HeroMasterRegistry
FileType: Data_Table
Header:End

Data:Begin
HeroID | Name      | Rarity | Level | Tier | Squad | Role       | Type     | SkillRef | GearRef | ExWeaponRef
# -----|-----------|--------|-------|------|-------|------------|----------|----------|---------|------------
H_001  | Kimberly  | UR     | 160   | 5.0  | 1     | Damage     | Tank     | None     | None    | None
H_002  | Marshall  | UR     | 160   | 5.0  | 1     | Support    | Tank     | None     | None    | None
H_003  | Mason     | UR     | 126   | 3.0  | None  | Damage     | Tank     | None     | None    | None
H_004  | Murphy    | UR     | 160   | 5.0  | 1     | Shield     | Tank     | None     | None    | None
H_005  | Scarlett  | UR     | 126   | 2.2  | None  | Shield     | Tank     | None     | None    | None
H_006  | Stetmann  | UR     | 160   | 4.0  | 1     | Damage     | Tank     | None     | None    | None
H_007  | Violet    | UR     | 126   | 2.2  | None  | Shield     | Tank     | None     | None    | None
H_008  | Williams  | UR     | 160   | 5.0  | 1     | Shield     | Tank     | None     | None    | None
H_011  | Farhad    | SSR    | 92    | 3.4  | None  | Damage     | Tank     | None     | None    | None
H_009  | Monica    | SSR    | 115   | 4.1  | None  | Support    | Tank     | None     | None    | None
H_010  | Richard   | SSR    | 90    | 3.2  | None  | Damage     | Tank     | None     | None    | None
H_012  | Gump      | SR     | 71    | 4.3  | None  | Shield     | Tank     | None     | None    | None
H_013  | Loki      | SR     | 71    | 4.4  | None  | Shield     | Tank     | None     | None    | None
H_014  | Adam      | UR     | 140   | 4.2  | 3     | Shield     | Missile  | None     | None    | None
H_015  | Fiona     | UR     | 140   | 2.2  | 3     | Damage     | Missile  | None     | None    | None
H_016  | McGregor  | UR     | 140   | 3.3  | 3     | Shield     | Missile  | None     | None    | None
H_017  | Swift     | UR     | 140   | 3.1  | 3     | Damage     | Missile  | None     | None    | None
H_018  | Tesla     | UR     | 140   | 3.1  | 3     | Damage     | Missile  | None     | None    | None
H_019  | Braz      | SSR    | 100   | 3.4  | None  | Damage     | Missile  | None     | None    | None
H_020  | Elsa      | SSR    | 108   | 3.4  | None  | Shield     | Missile  | None     | None    | None
H_021  | Venom     | SSR    | 100   | 3.4  | None  | Damage     | Missile  | None     | None    | None
H_022  | Kane      | SR     | 70    | 4.2  | None  | Damage     | Missile  | None     | None    | None
H_023  | Carlie    | UR     | 145   | 3.1  | 2     | Shield     | Aircraft | None     | None    | None
H_024  | DVA       | UR     | 151   | 4.1  | 2     | Damage     | Aircraft | None     | None    | None
H_025  | Lucius    | UR     | 145   | 2.1  | 2     | Shield     | Aircraft | None     | None    | None
H_026  | Morrison  | UR     | 145   | 2.1  | 2     | Damage     | Aircraft | None     | None    | None
H_027  | Schuyler  | UR     | 151   | 5.0  | 2     | Damage     | Aircraft | None     | None    | None
H_028  | Cage      | SSR    | 71    | 3.1  | None  | Shield     | Aircraft | None     | None    | None
H_029  | Maxwell   | SSR    | 100   | 3.3  | None  | Damage     | Aircraft | None     | None    | None
H_030  | Sarah     | UR     | 100   | 3.1  | None  | Support    | Aircraft | None     | None    | None
H_031  | Ambolt    | SR     | 72    | 4.2  | None  | Damage     | Aircraft | None     | None    | None
H_032  | Taylor    | UR     | 0     | 1.0  | None  | Adventurer | None     | None     | None    | None
Data:End
