Header:Begin
Name: F1NE Resource Inventory
Version: 2.0
Scope: Account: F1NE
Format: Table
Schema: ResourceInventory
Date: 2026-05-20
Time: 17:00:00
Header:End

Data:Begin
# Source    | Category | ItemName             | UnitSize | PacketCount | Unit
# ----------|----------|----------------------|----------|-------------|---------
Available   | Resource | Food                 | 1        | 182.6M      | Points
Available   | Resource | Iron                 | 1        | 191.1M      | Points
Available   | Resource | Coin                 | 1        | 120.9M      | Points
Available   | Resource | Oil                  | 1        | 11.9M       | Points
Available   | Currency | Diamonds             | 1        | 301.4K      | Points
Available   | Resource | Hero_EXP             | 1        | 5.9G        | Points
Available   | Currency | Gold_Bricks          | 1        | 2.3K        | Points
Inventory   | Currency | Diamonds             | 1        | 583.8K      | Points
Inventory   | Chest    | UR_Resource_Chest    | 1        | 1132        | Chests
Inventory   | Chest    | SSR_Resource_Chest   | 1        | 2733        | Chests
Inventory   | Chest    | SR_Resource_Chest    | 1        | 8274        | Chests
Inventory   | Chest    | Resource_Chest       | 1        | 256984      | Chests
Inventory   | Chest    | Hero_EXP             | 1        | 28.8G       | Chests
Inventory   | Resource | Food                 | 1        | 12.8G       | Points
Inventory   | Resource | Iron                 | 1        | 10.9G       | Points
Inventory   | Resource | Coin                 | 1        | 2.7G        | Points
Inventory   | Resource | Oil                  | 1        | 10.0M       | Points
Inventory   | Speedup  | Universal            | 1        | 365:18:11   | Duration
Inventory   | Speedup  | Construction         | 1        | 210:00:13   | Duration
Inventory   | Speedup  | Research             | 1        | 199:17:37   | Duration
Inventory   | Speedup  | Training             | 1        | 234:12:28   | Duration
Inventory   | Speedup  | Healing              | 1        | 066:04:03   | Duration
Data:End
